verified,suid_nm,unit_nm,county,acres,intrsc_,wtlnd_p,mtchd_r,mtchd_s,Join_Count,index,name,parking,pbtrnsp,dsbldcs,restrms,vstr_ct,showers,pcnc_ar,firepts,cmpgrnd,rv_cmp,sndy_bc,dunes,rky_shr,uplnd_b,strm_cr,wetland,bluff,by_lgn_,urbn_wf,offshr_,inlnd_r,strs_bc,pth_bch,blftp_t,blftp_p,trl_r_p,wldlf_v,swimmng,tidepol,kayakng,fishing,boating
X,27462,White Point County Beach,Los Angeles,32.00411592,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,2,1218,"White Point County Beach,White Point Bluff Park","Yes,Yes"," ,","Yes,Yes","Yes,Yes","No,No"," ,"," ,Yes"," ,","No,No"," ,","Yes,No"," ,","Yes,No"," ,Yes"," ,"," ,"," ,Yes"," ,"," ,"," ,"," ,","No,No","No,No","No,Yes","No,Yes","No,Yes","Yes,"," ,","Yes,"," ,","Yes,No","No,No"
X,27895,Stillwater Cove Regional Park,Sonoma,221.703271,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,2,287,"Stillwater Cove Bluffs,Stillwater Cove Regional Park","Yes,Yes"," ,","No,Yes","No,Yes","No,No"," ,Yes","no,Yes"," ,Yes","No,Yes"," ,","no,Yes","no,No","Yes,Yes"," ,Yes"," ,Yes"," ,No","Yes,Yes"," ,"," ,"," ,"," ,","No,Yes","No,Yes","Yes,Yes","yes,"," ,Yes","yes,Yes"," ,","no,"," ,","no,Yes","no,Yes"
X,29388,Ocean Trails Reserve,Los Angeles,47.67071349,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,2,1210,"Rancho Palos Verdes Beach,Ocean Trails Ecological Reserve","Yes,Yes"," ,","No,Yes","No,Yes","No,No"," ,"," ,No"," ,","No,No"," ,","Yes,No","No,"," ,Yes"," ,Yes"," ,"," ,","Yes,Yes"," ,"," ,"," ,"," ,","No,No","Yes,Yes","Yes,Yes"," ,Yes","Yes,Yes","Yes,Yes"," ,"," ,"," ,","No,No","No,No"
X,30381,San Luis Rey River Trail,San Diego,1136.269787,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,2,1440,"San Luis Rey River,San Luis Rey River Trail","No,No"," ,"," ,Yes","No,No"," ,"," ,"," ,","No,","No,No"," ,","No,No"," ,"," ,"," ,","Yes,Yes","Yes,"," ,"," ,"," ,"," ,","Yes,Yes"," ,No"," ,"," ,"," ,","Yes,Yes","Yes,"," ,"," ,"," ,","No,No","No,No"
X,30386,Coyote Point Recreation Area,San Mateo,155.1794894,park intersects wetland,wetland-park,intersects unknown access pt,intersects wetland access pt,2,1738,"Coyote Point Recreational Area,Aardvark Beach","Yes,Yes"," ,","No,No","Yes,Yes"," ,"," ,"," ,"," ,"," ,"," ,","Yes,Yes"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"
X,30464,Lake Earl Wildlife Area,Del Norte,5912.569663,park intersects wetland access point,wetland-park,intersects wetland access pt,intersects wetland access pt,2,7,"Lake Earl Wildlife Area,Lakeview Drive Boat Launch","Yes,Yes"," ,","Yes,No","Yes,No","Yes,No","No,No","Yes,No","Yes,No","No,No"," ,","Yes,No","Yes,No","No,No","Yes,No","No,No","Yes,Yes","No,No","Yes,Yes","No,No"," ,"," ,","No,No","Yes,No"," ,No"," ,No","Yes,No","Yes,Yes"," ,No"," ,No"," ,Yes","Yes,Yes","Yes,Yes"
,30686,Point Dume State Beach,Los Angeles,33.20803996,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,2,1080,"Point Dume Natural Preserve,Dume Cove","Yes,No","Yes,","Yes,No","No,No"," ,No","No,No"," ,No","No,No","No,No"," ,","Yes,Yes"," ,No"," ,Yes"," ,"," ,"," ,"," ,Yes"," ,"," ,"," ,"," ,","Yes,Yes","No,Yes"," ,No"," ,No","Yes,No","Yes,No"," ,"," ,"," ,","No,No","No,No"
X,30721,Westport Headlands Park,Mendocino,10.25052255,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,2,174,"Westport Headlands - Viewpoint,Westport Headlands","Yes,Yes"," ,","Yes,Yes","No,No","No,No"," ,No","No,"," ,No","No,No"," ,","No,Yes","No,No","No,Yes","Yes,Yes","No,No","No,No","Yes,Yes"," ,"," ,"," ,"," ,","No,Yes","No,No","Yes,","Yes,Yes","Yes,No","Yes,No"," ,","No,"," ,Yes","No,No","No,No"
X,31545,Jug Handle State Natural Reserve,Mendocino,796.9077076,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,2,200,"Path to Beach (Ocean Dr.),Jug Handle State Natural Reserve","Yes,Yes"," ,","No,Yes","No,Yes","No,No","No,No"," ,","No,No","No,No"," ,","Yes,Yes","No,No","Yes,Yes","No,Yes","No,Yes","No,No","Yes,Yes"," ,"," ,"," ,"," ,","No,No","Yes,Yes"," ,"," ,","Yes,Yes","No,No"," ,"," ,"," ,","No,No","No,No"
X,32131,Treasure Island Beach,Orange,10.32658102,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,2,1386,"Treasure Island Park,Treasure Island Beach","Yes,Yes"," ,","Yes,Yes","Yes,Yes","No,No","Yes,Yes","Yes,","No,No","No,No"," ,","No,Yes"," ,","No,Yes","Yes,"," ,"," ,","Yes,"," ,"," ,"," ,"," ,","Yes,Yes","Yes,Yes","Yes,","Yes,","Yes,Yes","No,Yes"," ,Yes"," ,Yes"," ,","No,No","No,No"
,32343,Upper Newport Bay Ecological Reserve,Orange,505.497076,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,2,1357,"Vista Point (Upper Newport Bay),Back Bay Science Center","Yes,Yes"," ,","No,Yes","No,Yes","No,Yes"," ,","No,No"," ,","No,No"," ,","No,No"," ,","No,No","Yes,"," ,","Yes,Yes","Yes,","Yes,Yes","No,No"," ,"," ,Yes","No,No","No,No","No,No","No,No","Yes,No","Yes,Yes"," ,"," ,"," ,","No,No","No,No"
X,33048,Sharp Park Golf Course,San Mateo,406.8009431,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,2,479,"Beachfront Path,Sharp Park Golf Course","Yes,Yes"," ,","No,No","No,Yes","No,No","No,","No,No","No,No","No,No"," ,","Yes,No","No,No","No,No","Yes,Yes","No,No","No,Yes","No,No"," ,No"," ,"," ,"," ,","No,No","No,No","No,","No,","Yes,Yes","Yes,No"," ,"," ,"," ,","No,No","No,No"
X,35478,Point Fermin Park,Los Angeles,25.71190838,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,2,1222,"Shoreline Access (Meyler Street),Point Fermin Park","Yes,Yes"," ,","No,Yes"," ,Yes","No,"," ,No"," ,Yes"," ,Yes","No,No"," ,","No,No","No,","Yes,Yes"," ,Yes"," ,"," ,","Yes,Yes"," ,"," ,"," ,"," ,","No,No","Yes,No","Yes,Yes","Yes,Yes"," ,Yes"," ,Yes"," ,"," ,"," ,","Yes,No","No,No"
,35628,Unnamed Site - Resort Improvement District No. 1,Humboldt,1125.199141,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,2,155,"Little Black Sands Beach,Abalone Point","No,Yes"," ,","No,No","No,No","No,No","No,No","No,Yes","No,No","No,No"," ,","Yes,No","No,No","Yes,Yes","No,No","No,No","No,No","Yes,Yes"," ,"," ,"," ,"," ,","No,No","No,No"," ,Yes"," ,Yes","No,No","Yes,Yes"," ,"," ,Yes"," ,","No,No","No,No"
X,36168,Middle Harbor Shoreline Park,Alameda,41.35341423,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,2,1734,"Middle Harbor Park,Middle Harbor Shoreline Park","Yes,Yes"," ,","Yes,Yes","Yes,Yes"," ,"," ,"," ,"," ,"," ,"," ,","Yes,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"
X,36208,City of San Clemente Beaches,Orange,17.59685184,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,2,1415,"San Clemente City Beach,San Clemente Municipal Pier","Yes,Yes"," ,","Yes,Yes","Yes,Yes"," ,","Yes,Yes","Yes,Yes","Yes,Yes","No,No"," ,","Yes,No"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,"," ,","Yes,No","Yes,Yes"," ,"," ,","Yes,Yes"," ,"," ,"," ,"," ,","Yes,Yes","No,No"
X,1393,Andrew Molera State Park,Monterey,4695.685835,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,740,Andrew Molera State Park,Yes, ,No,Yes,No,No,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, , ,Yes,Yes,Yes, ,Yes,Yes, , , ,Yes,No
X,1394,Angel Island State Park,Marin,754.3116621,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,433,Angel Island State Park,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes, ,Yes,No,Yes,Yes,No,No,No,Yes,No, , ,No,No, , ,Yes,Yes, , ,Yes,Yes,Yes
X,1429,Bean Hollow State Beach,San Mateo,38.30535566,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,531,Bean Hollow State Beach,Yes, ,No,Yes,No,No,Yes,Yes,No, ,Yes,No,Yes,No,No,No,Yes, , , , ,Yes,Yes,Yes, ,Yes,Yes, ,Yes, ,Yes,No
X,1444,Border Field State Park,San Diego,787.5724919,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,1636,Border Field State Park,Yes, ,No,Yes, ,No,Yes,Yes,No, ,Yes,Yes, ,Yes,Yes,Yes, , , , , ,No,No, , ,Yes,Yes,Yes, , ,Yes,No
X,1458,Candlestick Point State Recreation Area,San Francisco,206.4578873,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,1739,Candlestick Point State Recreation Area,Yes, ,No,Yes, , , , , , ,Yes, , , , ,Yes, , , , , , , , , , , , , , , , 
X,1461,Cardiff State Beach,San Diego,508.8593568,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1493,Cardiff State Beach,Yes, ,Yes,Yes, ,Yes,Yes,No,No, ,Yes, ,Yes, , , , ,Yes,No, , ,No,No, , ,No,Yes,Yes, , ,Yes,Yes
X,1462,Carlsbad State Beach,San Diego,34.46867794,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1459,Carlsbad State Beach,Yes, ,Yes,Yes, ,No,Yes,No,No, ,Yes, ,Yes, , , ,Yes, , , , ,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , ,Yes,No
X,1466,Carpinteria State Beach,Santa Barbara,58.11683858,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,976,Carpinteria State Beach,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,Yes,Yes, , ,No,No,Yes, , ,Yes,No
X,1468,Caspar Headlands State Natural Reserve,Mendocino,3.217671881,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,209,Caspar Headlands State Natural Reserve,No, ,No,No,No,No, ,No,No, ,No,No,Yes,No,No,No,Yes, , , , ,No,Yes,Yes,Yes,Yes,Yes, ,Yes, ,Yes,No
X,1474,Cayucos State Beach,San Luis Obispo,16.01293486,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,815,Cayucos State Beach,Yes, ,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,No,No,No,Yes,No,No, , , , ,No,No, , ,No,No,Yes, , ,Yes,No
X,1531,Estero Bluffs State Park,San Luis Obispo,385.6213992,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,811,Estero Bluffs State Park,Yes, ,No,No,No,No,No,No,No, ,Yes,No,Yes,Yes,Yes,No,Yes, ,No, , ,No,No,Yes,No,Yes,Yes,No, , ,Yes,No
X,1539,Fort Ord Dunes State Park,Monterey,1142.918311,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,659,Fort Ord Dunes State Beach,Yes, ,Yes,Yes,No, ,No,No,No, ,Yes,Yes,No,No,No,No,Yes, , , , ,No,Yes,No,No,Yes,No, , , ,Yes,No
X,1575,Huntington State Beach,Orange,115.7887401,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1320,Huntington State Beach,Yes, ,Yes,Yes, ,Yes,Yes,Yes,No, ,Yes, , , , , , , , , , ,No,No, , ,Yes,Yes,Yes, , ,Yes,No
X,1607,Little River State Beach,Humboldt,213.1169947,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,87,Little River State Beach,Yes, ,No,No,No,No,Yes,No,No, ,Yes,Yes,No,No,Yes,No,No, , , , ,No,Yes, , ,No,Yes, , , ,Yes,No
X,1617,Mandalay State Beach,Ventura,95.03319124,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1033,Mandalay Beach Park,Yes, ,No,No, ,No, ,No,No, ,Yes,Yes, , , , , , , , , ,No,No, , ,No,Yes, , , ,Yes,No
X,1622,Marina State Beach,Monterey,172.5091829,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,655,Marina State Beach (Reservation Road),Yes, ,Yes,Yes,No,No,Yes,No,No, ,Yes,Yes,No,No,No,No,Yes, , , , ,Yes,Yes, , ,Yes,No, , , ,Yes,No
,1640,Monterey State Historic Park,Monterey,9.205599236,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,676,Custom House Plaza,Yes, ,Yes,Yes,Yes,No,No,No,No, ,No,No,No,Yes,No,No,No, , , , ,No,No, , ,Yes,No, , , ,No,No
X,1647,Moss Landing State Beach,Monterey,56.00260594,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,643,Moss Landing State Beach,Yes, ,No,Yes,No,No, ,No,No, ,Yes,Yes,No,No,Yes,Yes,No,Yes,No, , ,No,Yes, , ,No,Yes, , , ,Yes,No
X,1655,Natural Bridges State Beach,Santa Cruz,62.30358524,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,568,Natural Bridges State Beach,Yes, ,Yes,Yes,Yes,No,Yes,Yes,No, ,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No, , ,No,Yes, , ,Yes,Yes, ,Yes, ,No,No
X,1657,New Brighton State Beach,Santa Cruz,155.6593898,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,622,New Brighton State Beach,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes, , , ,Yes,Yes,Yes,No, ,Yes,Yes, , , ,Yes,Yes
X,1672,Pelican State Beach,Del Norte,7.275719703,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,1,Pelican State Beach,Yes, ,No,No,No,No, ,No,No, ,Yes,Yes,No,No,No,No,Yes, , , , ,No,Yes, , ,No,Yes, , , ,Yes,No
,1685,Point Cabrillo Light Station,Mendocino,305.7972685,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,210,Point Cabrillo Light Station and Preserve,Yes, ,Yes,Yes,Yes,No, ,No,No, ,No,No,Yes,Yes,No,No,Yes, , ,Yes, ,No,No,Yes,Yes,Yes,Yes, , , ,No,No
X,1693,Point Sal State Beach,Santa Barbara,130.6368751,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,904,Point Sal State Beach,No, ,No,No,No,No,No,No,No, ,Yes,Yes,Yes,No,No,No,Yes, , , , ,No,Yes, , ,Yes,Yes, , , ,Yes,No
X,1723,San Buenaventura State Beach,Ventura,97.57898853,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1021,San Buenaventura State Beach,Yes, ,Yes,Yes, ,Yes,Yes,Yes,No, ,Yes,Yes,No,Yes, , , , , , , ,No,Yes, , ,Yes,Yes,Yes, , ,Yes,Yes
X,1724,San Clemente State Beach,Orange,120.4740126,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1429,San Clemente State Beach,Yes, ,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes, , ,Yes, , ,Yes, , , , ,No,Yes, ,Yes,Yes,Yes, , , ,Yes,No
X,1726,San Elijo State Beach,San Diego,552.9981329,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1489,San Elijo State Beach,Yes, ,Yes,Yes,No,Yes, ,No,Yes,Yes,Yes, ,Yes,Yes, , ,Yes, , , , ,Yes,No,Yes, ,Yes,Yes,Yes, , ,Yes,No
X,1728,San Gregorio State Beach,San Mateo,184.2700768,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,523,San Gregorio State Beach,Yes, ,Yes,Yes,No,No,Yes,Yes,No, ,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No, , ,No,Yes,Yes, ,No,Yes, , , ,Yes,No
X,1740,Schooner Gulch State Beach,Mendocino,55.51814802,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,258,Schooner Gulch State Beach,Yes, ,No,Yes,No,No,Yes,No,No, ,Yes,No,Yes,No,Yes,No,Yes, , , , ,No,Yes,Yes, ,Yes,No, ,Yes, ,Yes,No
X,1752,South Carlsbad State Beach,San Diego,117.4452327,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1473,South Carlsbad State Beach,Yes, ,Yes,Yes, ,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes, , ,Yes, , , , ,Yes,No, , ,Yes,Yes,Yes, , ,Yes,No
X,1769,Tolowa Dunes State Park,Del Norte,4198.574433,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,9,Tolowa Dunes State Park,Yes, ,Yes,Yes,No,No,Yes,Yes,Yes, ,Yes,Yes,No,Yes,No,Yes,No,Yes,No, ,Yes,No,Yes, , ,Yes,Yes, , , ,Yes,No
X,1786,Westport-Union Landing State Beach,Mendocino,101.5502595,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,171,Westport-Union Landing State Beach,Yes, ,Yes,Yes,No,No,Yes,Yes,Yes, ,Yes,No,Yes,Yes,Yes,No,Yes, , , , ,Yes,Yes, ,Yes,No,Yes, ,Yes, ,Yes,No
X,1793,Zmudowski State Beach,Monterey,177.8722472,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,638,Zmudowski State Beach,Yes, ,No,Yes,No,No, ,No,No, ,Yes,Yes,No,No,Yes,Yes,No, , , , ,No,Yes, , ,No,Yes, , , ,Yes,No
X,1950,Doheny State Beach,Orange,288.850272,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1410,Doheny State Beach,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , ,Yes,Yes, , , , , , ,No,No, , ,Yes,Yes, , , ,Yes,No
X,1980,Russian Gulch State Park,Mendocino,1288.981043,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,211,Russian Gulch State Park,Yes, ,Yes,Yes,No,Yes,Yes,Yes,Yes, ,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes, ,No,No,Yes, ,Yes,Yes, , , ,Yes,No
X,3244,Coyote Hills Regional Park,Alameda,947.2356675,park intersects wetland access point,wetland-park,intersects wetland access pt,intersects wetland access pt,1,1756,Coyote Hills Regional Park,Yes, ,Yes,Yes, , , , , , , , , , , ,Yes, , , , , , , , , , , , , , , , 
X,3268,Hayward Regional Shoreline,Alameda,775.6793741,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,1753,Hayward Regional Shoreline,Yes, ,Yes,Yes, , , , , , , , , , , ,Yes, , , , , , , , , , , , , , , , 
X,4510,Clam Beach County Park,Humboldt,462.121155,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,88,Clam Beach County Park,Yes, ,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No, , , , ,No,Yes, , ,No,No, , , ,Yes,No
X,6209,Manila Dunes Recreation Area,Humboldt,166.175021,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,105,Manila Dunes Recreation Area,Yes, ,Yes,Yes,No,No, ,No,No, ,Yes,Yes,No,No,No,No,No,No, , , ,No,Yes, , ,Yes,Yes, , , ,Yes,No
X,10900,Golden Gate Park,San Francisco,1022.462023,park intersects wetland access point,wetland-park,intersects wetland access pt,intersects wetland access pt,1,461,Golden Gate Park,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No, ,No,No,No,No,No,Yes,No, , , ,Yes,No,No, , ,Yes,Yes, , , ,Yes,Yes
,13902,Don Edwards National Wildlife Refuge,Alameda | Santa Clara,12016.88665,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,1755,Alameda Creek Vista Point,Yes, ,Yes,Yes, , , , , , , , , , , ,Yes, , , , , , , , , , , , , , , , 
X,13939,Salinas River National Wildlife Refuge,Monterey,383.9385708,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,651,Salinas River National Wildlife Refuge,Yes, ,No,No,No, ,No,No,No, ,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No, , ,No,Yes, , ,Yes,Yes, , , ,Yes,No
X,14258,Mori Point,San Mateo,110.5960962,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,482,Mori Point,Yes, ,No,Yes,No,No,No,No,No, ,Yes,No,Yes,Yes,No,No,Yes, , , , ,No,Yes,Yes,No,Yes,Yes, , , ,No,No
X,15284,Agate Beach,Marin,13.51588701,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,401,Agate Beach,Yes, ,Yes,Yes,No,No, ,No,No, ,Yes,No,Yes,No,No,No,No, , ,Yes, ,No,Yes, , ,No,Yes, ,Yes, ,Yes,No
,15314,Alamitos Beach,Los Angeles,56.47126596,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1259,Long Beach City Beach,Yes, ,Yes,Yes, ,Yes, ,No,No, ,Yes,No,No, , , , , , , , ,Yes,No, , ,Yes, ,Yes, , ,Yes,Yes
X,15431,Alviso Marina,Santa Clara,19.77340328,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,1696,Alviso Marina,Yes, ,Yes,Yes, , , , , , , , , , , ,Yes, , , , , , , , , , , , , , , , 
X,15482,Andre Clark Bird Refuge,Santa Barbara,40.92282257,park intersects wetland access point,wetland-park,intersects wetland access pt,intersects wetland access pt,1,964,Andree Clark Bird Refuge,Yes, ,Yes,No, ,No, ,No,No, ,No, , ,Yes, ,Yes, ,Yes,No, ,Yes,No,No, , ,Yes,Yes, , , ,No,No
X,15610,Arroyo Burro Beach County Park,Santa Barbara,5.982008144,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,936,Arroyo Burro Beach County Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes, , ,Yes,Yes,Yes,Yes, , , , ,No,Yes, , ,No,Yes, , , ,Yes,No
X,15731,Avila Beach,San Luis Obispo,7.237223185,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,867,Avila Beach and Pier,Yes, ,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,No,No,No,No,No,No,No,No, , ,Yes,No, , ,Yes,No,Yes, ,Yes,Yes,Yes
X,15766,Baker Beach,Humboldt,17.47246703,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1638,Baker Beach (Trinidad),No,No,No,No, , , , , , ,Yes,No, , , , , , , , , , ,Yes, , , , , , , , , 
X,15789,Ballona Wetlands Ecological Reserve,Los Angeles,588.8275369,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,1164,Ballona Wetlands,Yes, ,No,No,No,No,No,No,No, ,No, , , , ,Yes, ,Yes,No, , ,No,No, , ,Yes,Yes, , , ,No,No
X,15872,Bay Front Park,San Mateo,4.103215788,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,1772,Bayfront Park,No, ,No,No, , , , , , , , , , , ,Yes, , , , , , , , , , , , , , , , 
X,15879,Bay Shore Bluffs,San Luis Obispo,3.838077042,park intersects wetland access point,wetland-park,intersects wetland access pt,intersects wetland access pt,1,836,Bayshore Bluffs Park,Yes, ,Yes,Yes,No,No,Yes,Yes,No, ,No,No,No,Yes,No,Yes,Yes,Yes,No, , ,No,No, , ,No,No, , ,Yes,No,Yes
X,15886,Bayfront Park,Marin,48.41873898,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1654,Bayfront Park,Yes, ,No,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
X,15893,Bayside Drive Beach,Orange,1.344671975,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1344,Bayside Drive County Beach,Yes, ,Yes,Yes, ,Yes,Yes,No,No, ,Yes, , , , , , ,Yes,Yes, , ,No,No, , ,No, , , , ,Yes,Yes
X,16137,Black Point Boat Launch,Marin,2.24603464,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,1708,Black Point Boat Launch,Yes, ,Yes,Yes, , , , , , , , , , , ,Yes, , , , , , , , , , , , , , , , 
X,16196,Bluff Coastal Trail,San Luis Obispo,9.042524231,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,1,870,Bluff Trail (Avila Beach to Shell Beach),Yes, ,No,No,No, ,No,No,No, ,No,No,Yes,Yes,No,No,Yes,No, , , ,No,No,Yes, ,Yes,Yes, , , ,No,No
X,16198,Bluff Park,Los Angeles,18.57028686,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1262,Bluff Park,Yes, ,No,No, ,No, ,No,No, ,Yes, , ,Yes, , ,Yes, , , , ,Yes,Yes,Yes,Yes,Yes, , , , ,No,No
,16219,Bodega Marine Reserve,Sonoma,295.2463537,park intersects wetland,wetland-park,not intersecting access pt,intersects wetland access pt,1,328,UC Davis Bodega Marine Laboratory,Yes, ,No,Yes,Yes,No, ,No,No, ,No,Yes,Yes,Yes,No,Yes,No,No, ,Yes, ,No,No, , ,No,No, , , ,No,No
X,16375,Brickyard Park,Marin,17.39849027,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1655,Brickyard Park,Yes, ,No,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
X,16468,Buccaneer Beach Park,San Diego,6.072118775,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,1,1448,Buccaneer Park,Yes, ,Yes,Yes,No,Yes, ,No,No, ,No, , ,Yes, ,Yes, , , , , ,No,No, , ,Yes,Yes, , , ,No,No
X,16741,Calumet Park,San Diego,0.725272824,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1536,Calumet Park,Yes, ,No,No, ,No,Yes,No,No, ,No, ,Yes,Yes, , ,Yes, , , , ,No,Yes,Yes,Yes,Yes, , , , ,No,No
X,16834,Capistrano Beach Park,Orange,55.33015265,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,1,1412,Capistrano Beach Park,Yes, ,Yes,Yes, ,Yes, ,Yes,No, ,Yes, ,Yes, , , , , , , , ,No,No, , ,No, , , , ,Yes,No
